fecha,hora,precio_predicho,precio_real,error_absoluto
2025-01-10,1,69.9237,2.5903,67.3334
2025-01-10,2,68.6798,2.5903,66.0895
2025-01-10,4,70.5367,2.5903,67.9464
2025-01-10,5,76.9834,2.5903,74.3931
2025-01-10,6,86.9943,20.1495,66.8448
2025-01-10,7,94.9336,20.1495,74.7841
2025-01-10,8,103.0177,53.7271,49.2906
2025-01-10,9,107.9785,53.7271,54.2514
2025-01-10,10,111.2834,53.7271,57.5563
2025-01-10,11,112.7339,60.6757,52.0582
2025-01-10,12,115.058,60.6757,54.3823
2025-01-10,13,113.8979,53.7271,60.1708
2025-01-10,14,115.8209,53.7271,62.0938
2025-01-10,15,117.19,57.1953,59.9947
2025-01-10,16,117.0214,57.1953,59.8261
2025-01-10,17,114.7632,53.7271,61.0361
2025-01-10,18,118.172,57.1748,60.9972
2025-01-10,19,118.4908,57.1748,61.316
2025-01-10,20,111.2166,57.1748,54.0418
2025-01-10,21,104.416,35.5495,68.8665
2025-01-10,22,89.1735,35.6858,53.4877
2025-01-10,23,82.8689,35.6858,47.1831
2025-01-11,0,80.7893,56.8629,23.9264
2025-01-11,1,74.9769,56.8629,18.114
2025-01-11,2,73.2547,56.8629,16.3918
2025-01-11,3,70.626,56.8629,13.7631
2025-01-11,4,67.1099,56.8629,10.247
2025-01-11,5,69.6632,10.4798,59.1834
2025-01-11,6,73.8764,10.5432,63.3332
2025-01-11,7,82.3765,10.5432,71.8333
2025-01-11,8,91.4273,17.619,73.8083
2025-01-11,9,101.6851,17.619,84.0661
2025-01-11,10,105.1837,17.619,87.5647
2025-01-11,11,106.5055,36.4333,70.0722
2025-01-11,12,103.7902,57.1355,46.6547
2025-01-11,13,100.3975,57.1355,43.262
2025-01-11,14,100.2648,60.6122,39.6526
2025-01-11,15,100.6872,60.6122,40.075
2025-01-11,16,100.901,60.6122,40.2888
2025-01-11,17,99.6661,60.6122,39.0539
2025-01-11,18,103.2772,60.5907,42.6865
2025-01-11,19,101.3814,60.5907,40.7907
2025-01-11,20,96.8679,53.3584,43.5095
2025-01-11,21,91.3103,60.5907,30.7196
2025-01-11,22,79.1001,52.4927,26.6074
2025-01-11,23,70.5512,52.4927,18.0585
2025-01-12,0,70.3681,54.0741,16.294
2025-01-12,1,68.146,54.0741,14.0719
2025-01-12,2,63.7636,54.0741,9.6895
2025-01-12,3,60.1046,54.0741,6.0305
2025-01-12,4,59.1092,54.0741,5.0351
2025-01-12,5,57.7383,54.0741,3.6642
2025-01-12,6,59.152,54.3012,4.8508
2025-01-12,7,62.3541,57.5496,4.8045
2025-01-12,8,70.4752,57.5496,12.9256
2025-01-12,9,75.0986,57.5496,17.549
2025-01-12,10,75.5384,54.3012,21.2372
2025-01-12,11,74.5804,54.3012,20.2792
2025-01-12,12,76.3032,54.3012,22.002
2025-01-12,13,74.9168,54.3012,20.6156
2025-01-12,14,75.5931,54.3012,21.2919
2025-01-12,15,75.94,54.3012,21.6388
2025-01-12,16,77.6381,54.3012,23.3369
2025-01-12,17,78.3242,54.3012,24.023
2025-01-12,18,88.2129,54.319,33.8939
2025-01-12,19,91.2129,54.319,36.8939
2025-01-12,20,89.5877,54.319,35.2687
2025-01-12,21,82.8167,54.319,28.4977
2025-01-12,22,69.1984,54.0741,15.1243
2025-01-12,23,63.8453,54.0741,9.7712
2025-01-13,0,57.8585,54.1283,3.7302
2025-01-13,1,54.121,54.1283,0.0073
2025-01-13,2,52.8333,54.1283,1.295
2025-01-13,3,51.4048,54.1283,2.7235
2025-01-13,4,57.1806,29.3323,27.8483
2025-01-13,5,66.2927,36.2183,30.0744
2025-01-13,6,79.9925,54.3106,25.6819
2025-01-13,7,88.7081,54.3106,34.3975
2025-01-13,8,93.5373,54.3106,39.2267
2025-01-13,9,98.6012,54.3106,44.2906
2025-01-13,10,105.8318,54.3106,51.5212
2025-01-13,11,111.7582,123.8138,12.0556
2025-01-13,12,115.3401,123.8138,8.4737
2025-01-13,13,114.6753,123.8138,9.1385
2025-01-13,14,116.544,123.8138,7.2698
2025-01-13,15,118.074,124.4252,6.3512
2025-01-13,16,122.1988,145.073,22.8742
2025-01-13,17,120.2771,145.073,24.7959
2025-01-13,18,121.277,140.7951,19.5181
2025-01-13,19,121.876,140.7951,18.9191
2025-01-13,20,114.2879,140.7951,26.5072
2025-01-13,21,103.0822,124.0977,21.0155
2025-01-13,22,88.9026,123.6393,34.7367
2025-01-13,23,77.8349,54.1283,23.7066
2025-01-14,0,71.5881,54.036,17.5521
2025-01-14,1,67.0736,54.036,13.0376
2025-01-14,2,64.5112,54.036,10.4752
